target_prevalence,repeat,method,n,observed_prevalence,mean_predicted_risk,brier,log_loss,ece_10bin
0.02,9,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108465,0.010271553564649826
0.02,10,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.01141377484243176
0.02,10,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108466,0.010271553564649828
0.02,11,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.016514509908927135,0.0919730777842254,0.01141377484243176
0.02,11,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108465,0.010271553564649828
0.02,12,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.016514509908927135,0.09197307778422538,0.011413774842431758
0.02,12,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108466,0.010271553564649828
0.02,13,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.016514509908927135,0.09197307778422538,0.011413774842431758
0.02,13,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108466,0.010271553564649828
0.02,14,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.01141377484243176
0.02,14,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108466,0.010271553564649828
0.02,15,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.09197307778422538,0.011413774842431758
0.02,15,prior_adjusted,3868,0.019906928645294725,0.017393137175898153,0.017178146714268216,0.08863990162108466,0.010271553564649826
0.02,16,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.016514509908927135,0.09197307778422538,0.011413774842431758
0.02,16,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108465,0.010271553564649826
0.02,17,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.01651450990892713,0.09197307778422538,0.01141377484243176
0.02,17,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108465,0.01027155356464983
0.02,18,unadjusted,3868,0.019906928645294725,0.01185144529456004,0.01651450990892713,0.0919730777842254,0.01141377484243176
0.02,18,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268212,0.08863990162108466,0.010271553564649826
0.02,19,unadjusted,3868,0.019906928645294725,0.011851445294560038,0.016514509908927135,0.09197307778422538,0.01141377484243176
0.02,19,prior_adjusted,3868,0.019906928645294725,0.01739313717589815,0.017178146714268216,0.08863990162108466,0.01027155356464983
